縣市,鄉鎮市區,段名,地號
 彰化縣,溪湖鎮,西安段,1301-0000
 彰化縣,鹿港鎮,上林段,0547-0083
 臺中市,沙鹿區,南勢坑地段南勢坑小段,519-5
 臺中市,西屯區,廣褔地段,0712-0006
 臺中市,霧峰區,峰西地段,895
 彰化縣,線西鄉,宏濱段,14-25
 臺中市,后里區,后里段后里小段,0019-7
 彰化縣,鹿港鎮,上林段,0547-0020
 彰化縣,鹿港鎮,鹽埔段,0710-0000
 彰化縣,線西鄉,西興段,77-24
 彰化縣,伸港鄉,全興段,0839-0000
 彰化縣,線西鄉,宏濱段,0051-0001
 彰化縣,溪湖鎮,平和地段,252
 臺中市,后里區,后里地段后里小段,76
 臺中市,西屯區,廣昌地段,0171
 彰化縣,鹿港鎮,上林段,547-80
 南投縣,草屯鎮,中興地段,0510-0000
 彰化縣,線西鄉,西興段,4
 彰化縣,大村鄉,鎮安段,403
 彰化縣,鹿港鎮,上林地段,0547-0031
 彰化縣,秀水鄉,馬鳴段,445
 彰化縣,秀水鄉,馬鳴段,445
 彰化縣,鹿港鎮,鹿工段,24
 彰化縣,鹿港鎮,鹽埔段,722
 臺中市,清水區,海濱段臨港小段,35
 臺中市,太平區,新德隆地段,1163-0000
 彰化縣,線西鄉,西興段,77-48
 臺中市,西屯區,何厝地段,0314-0011
 彰化縣,鹿港鎮,上林段,547-56
 臺中市,龍井區,福麗段,904
 臺中市,烏日區,新榮泉地段,0023-0000
 臺中市,霧峰區,人和地段,0982-0000
 彰化縣,員林市,新生地段,1249
 彰化縣,田尾鄉,海豐段,1150
 彰化縣,員林市,新員水地段,740
 臺中市,梧棲區,港口段,332-56
 彰化縣,鹿港鎮,上林段,547-72
 臺中市,北屯區,北屯地段,434-9
 彰化縣,線西鄉,宏濱段,14-10
 臺中市,大雅區,橫山地段,0052
 臺中市,北屯區,仁美地段,0036-0000
 彰化縣,鹿港鎮,上林段,0547-0102
 臺中市,梧棲區,民權段,1753-7
 臺中市,梧棲區,民權段,1753-8
 臺中市,東區,旱溪地段,124-192
 臺中市,大雅區,六張犁地段,0061-0052
 臺中市,霧峰區,吳厝地段,0363-0000
 臺中市,后里區,月眉段月眉小段,127
 彰化縣,溪湖鎮,顯光段,0606
 南投縣,南投市,牛運堀段,0141-0002
 臺中市,西屯區,安林地段,0230
 彰化縣,鹿港鎮,鹿工段,0024-0000
 彰化縣,鹿港鎮,鹿工段,0025-0000
 彰化縣,鹿港鎮,鹿工段,0026-0000
 彰化縣,鹿港鎮,上林段,495-3
 彰化縣,大城鄉,美豐段,2210
 彰化縣,鹿港鎮,上林段,102-1
 臺中市,大雅區,四維地段,0663-0000
 臺中市,大雅區,四維地段,0668-0000
 臺中市,大雅區,四維地段,0689-0000
 臺中市,北區,文正地段,30-4
 彰化縣,鹿港鎮,鹽埔段,0710-0002
 彰化縣,鹿港鎮,鹽埔段,0710-0001
 彰化縣,芳苑鄉,芳林段,49
 彰化縣,溪湖鎮,西安段,1301
 彰化縣,鹿港鎮,上林段,375
 彰化縣,社頭鄉,社興地段,247-9
 彰化縣,社頭鄉,社興地段,248
 彰化縣,社頭鄉,社興地段,249
 彰化縣,社頭鄉,社興地段,376
 彰化縣,社頭鄉,社興地段,247-10
 彰化縣,彰化市,西門口地段,0063-0004
 臺中市,大肚區,福和北段,0078-0000
 臺中市,烏日區,月勞月胥地段頂月勞月胥小段,265
 南投縣,名間鄉,東厝地段,378
 彰化縣,田中鎮,中山地段,0225
 臺中市,西區,土庫地段,67-148
 臺中市,西區,土庫地段,67-150
 臺中市,西區,土庫地段,67-152
 臺中市,西區,土庫地段,67-169
 臺中市,西區,土庫地段,67-170
 臺中市,西區,土庫地段,67-171
 臺中市,大里區,東湖段,379
 臺中市,大里區,東湖段,374
 臺中市,大里區,東湖段,381
 彰化縣,鹿港鎮,上林段,266-10
 彰化縣,鹿港鎮,上林地段,0244-0000
 彰化縣,鹿港鎮,上林地段,0245-0000
 臺中市,龍井區,永順地段,227
 南投縣,仁愛鄉,松崗地段,0793-0000
 南投縣,仁愛鄉,松崗地段,0790-0009
 彰化縣,鹿港鎮,上林段,547-81
 臺中市,梧棲區,港口地段,0339-0000
 彰化縣,大城鄉,楓港段,1774
 臺中市,南屯區,鎮南段,866
 臺中市,南屯區,鎮南段,868
 臺中市,南屯區,鎮南段,869
 臺中市,南屯區,鎮南段,873
 臺中市,南屯區,鎮南段,875
 臺中市,南屯區,鎮南段,876
 臺中市,南屯區,鎮南段,877
 臺中市,南屯區,鎮南段,878
 彰化縣,溪州鄉,過溪子段,622-2
 彰化縣,溪州鄉,過溪子段,628-88
 彰化縣,溪州鄉,過溪子段,628-87
 彰化縣,福興鄉,三豐段,588-1
 臺中市,豐原區,豐原社地段,40
 彰化縣,鹿港鎮,上林段,75
 臺中市,清水區,三塊厝段菁埔小段,6-56
 彰化縣,鹿港鎮,上林段,295
 彰化縣,伸港鄉,伸興地段,0030-0000
 彰化縣,溪湖鎮,大庭地段,207
 彰化縣,溪湖鎮,大庭地段,207-1
 彰化縣,溪州鄉,過溪子段,154-12
 彰化縣,溪州鄉,過溪子段,154-13
 彰化縣,溪州鄉,過溪子段,154-14
 彰化縣,溪州鄉,過溪子段,154-15
 彰化縣,溪州鄉,過溪子段,154-16
 彰化縣,鹿港鎮,上林段,0375-0000
 彰化縣,鹿港鎮,上林段,0376-0000
 彰化縣,鹿港鎮,上林段,0377-0000
 彰化縣,鹿港鎮,上林段,0378-0000
 臺中市,梧棲區,港加地段,87
 臺中市,梧棲區,港加地段,88
 臺中市,梧棲區,港加地段,89
 臺中市,梧棲區,港加地段,90
 臺中市,梧棲區,港加地段,91
 臺中市,梧棲區,港加地段,92
 臺中市,梧棲區,港加地段,92-1
 彰化縣,花壇鄉,橋頭段,0193-0000
 彰化縣,花壇鄉,橋頭段,0194-0000
 南投縣,埔里鎮,梅林地段,319-3
 南投縣,埔里鎮,梅林地段,319-4
 南投縣,埔里鎮,梅林地段,335-2
